id|district
MP017|HOSHANGABAD
PB007|HOSHIARPUR
WB009|HOWRAH
TG010|HYDERABAD
AS028|Hojai
KL003|IDUKKI
MP018|INDORE
MP019|JABALPUR
OR012|JAGATSINGHPUR
TG013|JAGITIAL
BR012|JAHANABAD
MP020|JAHBUA
RJ017|JAIPUR
RJ018|JAISALMER
OR013|JAJPUR
PB008|JALANDHAR
UP035|JALAUN
MH013|JALGAON
MH014|JALNA
RJ019|JALOR
WB010|JALPAIGURI
JK005|JAMMU
GJ009|JAMNAGAR
JH021|JAMTARA
BR013|JAMUI
TG018|JANGAON
CT006|JANJGIR
CT007|JASHPUR
UP036|JAUNPUR
TG031|JAYASHANKAR BHUPALPA
HR012|JHAJJAR
RJ020|JHALAWAR
UP037|JHANSI
WB024|JHARGRAM
OR014|JHARSUGUDA
RJ021|JHUNJHUNUN
HR017|JIND
MN016|JIRIBAM
RJ022|JODHPUR
TG025|JOGULAMBA GADWAL
AS011|JORHAT
GJ010|JUNAGADH
BR005|KAIMUR
HR003|KAITHAL
MN014|KAKCHING
AP027|KAKINADA
OR015|KALAHANDI
WB021|KALIMPONG
TN042|KALLAKURICHI
TG016|KAMAREDDY
MN015|KAMJONG
AR023|KAMLE
AS012|KAMRUP
TN007|KANCHIPURAM
OR025|KANDHAMAL
MN012|KANGPOKPI
HP004|KANGRA
CT008|KANKER
TN008|KANNIYAKUMARI
UP039|KANNUAJ
KL004|KANNUR
UP040|KANPUR RURAL
UP041|KANPUR URBAN
PB009|KAPURTHALA
PY003|KARAIKAL
RJ023|KARAULI
AS013|KARBI ANGLONG
LD001|KARGIL
TG002|KARIM NAGAR
AS014|KARIMGANJ
HR008|KARNAL
TN009|KARUR
KL005|KASARAGOD
UP073|KASHI RAM NAGAR
JK007|KATHUA
BR014|KATIHAR
MP021|KATNI
UP042|KAUSHAMBI
CT009|KAWARDHA
OR016|KENDRAPARA
OR017|KEONJHAR
BR015|KHAGARIA
TG003|KHAMMAM
MP013|KHANDWA
MP045|KHARGONE
MZ010|KHAWZAWL
GJ011|KHEDA
OR018|KHORDHA
TR005|KHOWAI
JH023|KHUNTI
HP005|KINNAUR
